symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
BTC-USD,2025-07-19 16:00:00,2025-07-20 20:00:00,117999.080945,116798.88894116358,short,0.8181369093884983,closed,TAKE_PROFIT,0.7467803955078125,Ranging
BTC-USD,2025-07-20 20:00:00,2025-07-21 00:00:00,118095.932495,117120.23650615764,short,0.6270155154349216,closed,TAKE_PROFIT,0.7640858888626099,Ranging
BTC-USD,2025-07-21 00:00:00,2025-07-21 04:00:00,117206.48744,118354.26538713933,short,-1.1802577913399406,closed,STOP_LOSS,0.7767022252082825,Ranging
BTC-USD,2025-07-21 04:00:00,2025-07-21 16:00:00,118344.798,117242.67214051347,short,0.7322150225361049,closed,TAKE_PROFIT,0.7742253541946411,Ranging
BTC-USD,2025-07-21 16:00:00,2025-07-21 20:00:00,118254.00342000001,117092.93953087031,short,0.782820808942071,closed,TAKE_PROFIT,0.7967749238014221,Ranging
BTC-USD,2025-07-21 20:00:00,2025-07-22 04:00:00,116709.286165,118024.52472133472,short,-1.3280625888069877,closed,STOP_LOSS,0.8055506944656372,Ranging
BTC-USD,2025-07-22 04:00:00,2025-07-22 08:00:00,117151.395,118488.64585666105,short,-1.3426138865164257,closed,STOP_LOSS,0.8124410510063171,Ranging
BTC-USD,2025-07-22 08:00:00,2025-07-22 16:00:00,117924.68815999999,119983.4763717779,short,-1.947595886955862,closed,STOP_LOSS,0.8081642389297485,Chaotic
BTC-USD,2025-07-22 16:00:00,2025-07-25 00:00:00,118852.58398,116098.35386509886,short,2.1196671479014437,closed,TAKE_PROFIT,0.8015902042388916,Chaotic
BTC-USD,2025-07-25 00:00:00,2025-07-25 04:00:00,118281.819505,115841.0731802723,short,1.8655643287167678,closed,TAKE_PROFIT,0.7615899443626404,Chaotic
BTC-USD,2025-07-25 04:00:00,2025-07-25 20:00:00,115361.95017,117495.03528516751,short,-2.0508860132272186,closed,STOP_LOSS,0.752407431602478,Chaotic
BTC-USD,2025-07-25 20:00:00,2025-07-27 16:00:00,116630.25570000001,118856.52746263717,short,-2.1107375020526487,closed,STOP_LOSS,0.7582711577415466,Chaotic
BTC-USD,2025-07-27 16:00:00,2025-07-30 16:00:00,118526.44713,116711.48518382694,short,1.332802975294274,closed,TAKE_PROFIT,0.7494840621948242,Chaotic
BTC-USD,2025-07-30 16:00:00,2025-07-31 20:00:00,117941.009995,115958.43046341547,short,1.4826734917737687,closed,TAKE_PROFIT,0.7574867010116577,Chaotic
BTC-USD,2025-07-31 20:00:00,2025-08-01 00:00:00,116727.397105,114622.99493145882,short,1.6046376668708309,closed,TAKE_PROFIT,0.7638373970985413,Chaotic
BTC-USD,2025-08-01 00:00:00,2025-08-01 16:00:00,115706.19796,113542.90743635462,short,1.67151064709397,closed,TAKE_PROFIT,0.7752243876457214,Chaotic
BTC-USD,2025-08-01 16:00:00,2025-08-01 20:00:00,115300.14109,112897.00829627563,short,1.8863252236963077,closed,TAKE_PROFIT,0.7635977864265442,Chaotic
BTC-USD,2025-08-01 20:00:00,2025-08-04 12:00:00,113272.01565999999,115307.48707937947,short,-1.9987734030571926,closed,STOP_LOSS,0.7668853402137756,Chaotic
BTC-USD,2025-08-04 12:00:00,2025-08-07 08:00:00,114435.843455,115947.88833693665,short,-1.5226248709511854,closed,STOP_LOSS,0.7199061512947083,Chaotic
BTC-USD,2025-08-07 08:00:00,2025-08-07 12:00:00,114730.596005,116231.30521985271,short,-1.5093368084674652,closed,STOP_LOSS,0.7208391427993774,Chaotic
BTC-USD,2025-08-07 12:00:00,2025-08-10 00:00:00,116461.270235,118078.42448986323,short,-1.589965441602751,closed,STOP_LOSS,0.722025990486145,Chaotic
BTC-USD,2025-08-10 00:00:00,2025-08-10 04:00:00,116404.018875,117750.51958856826,short,-1.3579043638770039,closed,STOP_LOSS,0.7579941749572754,Chaotic
BTC-USD,2025-08-10 04:00:00,2025-08-11 00:00:00,118440.75,119914.7542608134,short,-1.4457522137222272,closed,STOP_LOSS,0.7533863186836243,Chaotic
BTC-USD,2025-08-11 00:00:00,2025-08-11 04:00:00,119234.36299499999,120713.51954954628,short,-1.4417860706505643,closed,STOP_LOSS,0.7776895761489868,Chaotic
BTC-USD,2025-08-11 04:00:00,2025-08-11 12:00:00,121668.125505,119515.5762719903,short,1.5709665315376007,closed,TAKE_PROFIT,0.7756485939025879,Chaotic
BTC-USD,2025-08-11 12:00:00,2025-08-11 20:00:00,120501.25923,118318.23489778755,short,1.6134311379881645,closed,TAKE_PROFIT,0.7872573137283325,Chaotic
BTC-USD,2025-08-11 20:00:00,2025-08-13 12:00:00,119029.75535,120902.44636074197,short,-1.774869826658608,closed,STOP_LOSS,0.8029876351356506,Chaotic
BTC-USD,2025-08-13 12:00:00,2025-08-13 16:00:00,120510.12479500001,122247.67923348356,short,-1.643274576207392,closed,STOP_LOSS,0.7716034650802612,Chaotic
BTC-USD,2025-08-13 16:00:00,2025-08-13 20:00:00,120860.15969,122702.43928823473,short,-1.7258310782999473,closed,STOP_LOSS,0.768103301525116,Chaotic
BTC-USD,2025-08-13 20:00:00,2025-08-14 12:00:00,122682.837895,120264.02516694747,short,1.773569883387306,closed,TAKE_PROFIT,0.767866313457489,Chaotic
BTC-USD,2025-08-14 12:00:00,2025-08-14 16:00:00,120889.195165,118324.71993448529,short,1.923464964955313,closed,TAKE_PROFIT,0.7489233613014221,Chaotic
