symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
SOL-USD,2025-07-19 16:00:00,2025-07-20 16:00:00,177.31130000000002,183.42299784608804,short,-3.650321295898292,closed,STOP_LOSS,0.5577670335769653,Trending
SOL-USD,2025-07-20 16:00:00,2025-07-20 20:00:00,181.86902,178.31920003964137,short,1.7538070751791546,closed,TAKE_PROFIT,0.5505069494247437,Ranging
SOL-USD,2025-07-20 20:00:00,2025-07-21 00:00:00,181.89900500000002,185.61431424890444,short,-2.2445546462188304,closed,STOP_LOSS,0.5511553883552551,Ranging
SOL-USD,2025-07-21 00:00:00,2025-07-21 04:00:00,181.33928500000002,185.12329180255412,short,-2.288786668237198,closed,STOP_LOSS,0.5564857721328735,Ranging
SOL-USD,2025-07-21 04:00:00,2025-07-21 08:00:00,186.616645,190.76734238808598,short,-2.426408092093853,closed,STOP_LOSS,0.5706815719604492,Ranging
SOL-USD,2025-07-21 08:00:00,2025-07-21 12:00:00,189.974965,194.2675322175084,short,-2.461803172184248,closed,STOP_LOSS,0.5784764885902405,Ranging
SOL-USD,2025-07-21 12:00:00,2025-07-21 20:00:00,191.3043,197.600134160101,short,-3.4942960478468503,closed,STOP_LOSS,0.5876187682151794,Chaotic
SOL-USD,2025-07-21 20:00:00,2025-07-22 00:00:00,194.532685,201.33169731151565,short,-3.698543868773098,closed,STOP_LOSS,0.6042370200157166,Chaotic
SOL-USD,2025-07-22 00:00:00,2025-07-22 12:00:00,195.62214,202.38657607497882,short,-3.6613671596956237,closed,STOP_LOSS,0.6113470792770386,Chaotic
SOL-USD,2025-07-22 12:00:00,2025-07-23 12:00:00,199.810045,189.61886898118152,short,4.905532704743297,closed,TAKE_PROFIT,0.609481930732727,Chaotic
SOL-USD,2025-07-23 12:00:00,2025-07-23 16:00:00,197.32128999999998,186.87775192232132,short,5.0979491547801725,closed,TAKE_PROFIT,0.6031057238578796,Chaotic
SOL-USD,2025-07-23 16:00:00,2025-07-24 04:00:00,192.62364,181.50791249929839,short,5.576468157388321,closed,TAKE_PROFIT,0.6015815734863281,Chaotic
SOL-USD,2025-07-24 04:00:00,2025-07-25 00:00:00,189.755075,178.75326667673417,short,5.603697282715152,closed,TAKE_PROFIT,0.5990150570869446,Chaotic
SOL-USD,2025-07-25 00:00:00,2025-07-28 00:00:00,182.77856500000001,191.87549517936446,short,-5.181999453570397,closed,STOP_LOSS,0.5857232809066772,Chaotic
SOL-USD,2025-07-28 00:00:00,2025-07-28 04:00:00,188.54567999999998,194.70242879963806,short,-3.468653807627795,closed,STOP_LOSS,0.5479608178138733,Chaotic
SOL-USD,2025-07-28 04:00:00,2025-07-28 16:00:00,193.253325,184.96413577187667,short,4.093576018602238,closed,TAKE_PROFIT,0.5632466673851013,Chaotic
SOL-USD,2025-07-28 16:00:00,2025-07-29 16:00:00,187.08641,178.66204675321177,short,4.307429272941323,closed,TAKE_PROFIT,0.5902478694915771,Chaotic
SOL-USD,2025-07-29 16:00:00,2025-07-30 16:00:00,180.719595,172.2639419649263,short,4.4835589068848805,closed,TAKE_PROFIT,0.600849986076355,Chaotic
SOL-USD,2025-07-30 16:00:00,2025-08-01 00:00:00,179.09041000000002,170.97415650868578,short,4.336462753536359,closed,TAKE_PROFIT,0.5892438888549805,Chaotic
SOL-USD,2025-08-01 00:00:00,2025-08-01 20:00:00,172.13389,163.80335584189146,short,4.644406114488354,closed,TAKE_PROFIT,0.5708629488945007,Chaotic
