trade_id,asset,direction,entry_price,strategy_name,timestamp,stop_loss,take_profit
20250717175300-BTC-USD,BTC-USD,short,119162.2,btc-swing,2025-07-17 17:53:00.805148+00:00,120353.822,116778.956
20250723092905-SOL-USD,SOL-USD,long,198.66,swing,2025-07-23 09:29:05.543535+00:00,186.7642857142857,222.4514285714285
20250723130144-ETH-USD,ETH-USD,long,3640.1,swing,2025-07-23 13:01:44.972886+00:00,3480.097142857143,3960.105714285714
