datetime,open,high,low,close,volume,rsi,macd,MACDh_12_26_9,macd_signal,bollinger_lower,BBM_20_2.0,bollinger_upper,BBB_20_2.0,BBP_20_2.0,cmf,obv,vwap,ema_20,ema_50,ema_200,atr,stoch_k,stoch_d,adx,DMP_14,DMN_14,volume_ma,vol_spike,atr_norm,macd_norm,bollinger_width,ema_spread,pct_change,log_return,lc_galaxy_score,lc_alt_rank
2025-02-18 10:00:00,95759.45,95861.72,95607.88,95721.5,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.1211222139226864,-0.0012119562616122034,49.2,196
2025-02-18 11:00:00,95721.5,95763.9,95524.07,95605.56,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.1211222139226864,-0.0012119562616122034,49.2,196
2025-02-18 12:00:00,95605.56,96265.6,95570.46,96164.41,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,0.5845371336144156,0.005828353438200242,49.2,196
2025-02-18 13:00:00,96154.8,96451.49,96074.95,96206.5,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,0.04376879138550116,0.0004375921564402674,49.2,196
2025-02-18 14:00:00,96206.51,96730.0,95381.09,95495.92,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.738598743328156,-0.007413398895680121,49.2,196
2025-02-18 15:00:00,95495.92,95714.75,95165.04,95523.15,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,0.028514307208094003,0.0002851024265215117,49.2,196
2025-02-18 16:00:00,95514.99,95618.77,94567.41,94604.5,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.9617040476575522,-0.009663582850647731,49.2,196
2025-02-18 17:00:00,94600.12,94849.65,94050.01,94051.53,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.5845070794729623,-0.005862220079535179,49.2,196
2025-02-18 18:00:00,94062.19,94308.82,93529.85,93865.22,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,-0.19809353446987865,-0.001982899992107143,49.2,196
2025-02-18 19:00:00,93865.22,94353.72,93333.0,94039.83,0,50.65212188071458,391.14704648181214,-55.07597873157164,354.1674102884378,93833.33725513337,95195.7015,96558.06574486662,2.8622389948281888,0.5209336453943688,0.0,0.0,0.0,95195.7015,95968.201,94735.3753,749.8658715117672,62.124717888332746,64.46374251790792,14.229159771784808,22.10884400474358,23.327991916452923,0.0,0.0,0.7868642274882653,0.4057191811679865,2.860525051282769,-7.846791095749752,0.18602204309541293,0.0018584923636537744,49.2,196
