symbol,entry_time,exit_time,entry_price,exit_price,type,pnl,status,outcome,confidence,regime
ETH-USD,2025-07-19 16:00:00,2025-07-20 00:00:00,3550.224,3673.4250286692254,short,-3.6737027775682454,closed,STOP_LOSS,0.505232036113739,Trending
ETH-USD,2025-07-20 00:00:00,2025-07-20 08:00:00,3590.213995,3707.951682883159,short,-3.4826852587387873,closed,STOP_LOSS,0.5256659388542175,Trending
ETH-USD,2025-07-20 08:00:00,2025-07-20 12:00:00,3666.6557549999998,3786.0716551390497,short,-3.4600637754494885,closed,STOP_LOSS,0.5254570841789246,Trending
ETH-USD,2025-07-20 12:00:00,2025-07-23 12:00:00,3754.831645,3597.1384269707,short,4.003941112979766,closed,TAKE_PROFIT,0.5306647419929504,Trending
ETH-USD,2025-07-25 20:00:00,2025-07-26 08:00:00,3639.31943,3780.208132220779,short,-4.075163849604702,closed,STOP_LOSS,0.5231189727783203,Chaotic
ETH-USD,2025-07-26 08:00:00,2025-07-27 20:00:00,3740.338895,3871.5161977000917,short,-3.7106038166306816,closed,STOP_LOSS,0.5891293287277222,Chaotic
ETH-USD,2025-07-27 20:00:00,2025-07-28 04:00:00,3826.4058400000004,3935.8208272029046,short,-3.0623310430162625,closed,STOP_LOSS,0.6827418208122253,Chaotic
ETH-USD,2025-07-28 04:00:00,2025-07-29 00:00:00,3877.8700949999998,3738.556021787137,short,3.396133544181437,closed,TAKE_PROFIT,0.7182758450508118,Chaotic
ETH-USD,2025-07-29 00:00:00,2025-08-01 00:00:00,3797.1005,3660.0312633638728,short,3.4134494168053586,closed,TAKE_PROFIT,0.7143185138702393,Chaotic
ETH-USD,2025-08-01 00:00:00,2025-08-01 16:00:00,3696.540805,3550.2100617060737,short,3.7625444913009773,closed,TAKE_PROFIT,0.5743786096572876,Chaotic
ETH-USD,2025-08-01 16:00:00,2025-08-01 20:00:00,3614.29195,3459.2272517281126,short,4.0946105383146785,closed,TAKE_PROFIT,0.6303168535232544,Chaotic
ETH-USD,2025-08-01 20:00:00,2025-08-03 00:00:00,3516.6408,3355.751019461819,short,4.379673599837646,closed,TAKE_PROFIT,0.6476651430130005,Chaotic
ETH-USD,2025-08-03 00:00:00,2025-08-03 08:00:00,3392.24303,3514.594308318406,short,-3.8104025717969976,closed,STOP_LOSS,0.7267858386039734,Chaotic
ETH-USD,2025-08-03 08:00:00,2025-08-04 00:00:00,3454.521875,3572.781699519442,short,-3.626757410356871,closed,STOP_LOSS,0.7374521493911743,Chaotic
ETH-USD,2025-08-04 00:00:00,2025-08-04 12:00:00,3494.99163,3602.119333610339,short,-3.2682428648319584,closed,STOP_LOSS,0.7896252870559692,Chaotic
ETH-USD,2025-08-04 12:00:00,2025-08-04 16:00:00,3553.92215,3655.8837849642546,short,-3.0718579724437394,closed,STOP_LOSS,0.823855996131897,Chaotic
