timestamp,asset,direction,confidence,pct_change,strategy_type,stop_loss,take_profit
2025-05-23 14:46:14.902766,BTC-USD,long,93.14%,1.50%,scalp,SL:108079.59,TP:113017.23
2025-05-23 14:46:30.606720,ETH-USD,short,99.00%,-1.85%,swing,SL:2641.52,TP:2447.97
2025-05-23 14:51:54.325839,BTC-USD,long,93.36%,1.61%,scalp,SL:108159.3,TP:113100.59
2025-05-23 14:52:10.064786,ETH-USD,short,99.00%,-2.05%,swing,SL:2647.85,TP:2454.3
2025-05-23 14:57:33.782731,BTC-USD,long,94.05%,1.67%,scalp,SL:108260.6,TP:113206.52
2025-05-23 14:57:49.476119,ETH-USD,short,99.00%,-2.03%,swing,SL:2646.18,TP:2452.63
2025-05-23 15:03:13.267379,BTC-USD,long,93.67%,1.62%,scalp,SL:108186.57,TP:113129.1
2025-05-23 15:03:29.025710,ETH-USD,short,99.00%,-1.81%,swing,SL:2641.56,TP:2448.01
2025-05-23 15:08:52.724445,BTC-USD,long,93.02%,1.01%,scalp,SL:107496.38,TP:112407.38
2025-05-23 15:09:08.384723,ETH-USD,short,99.00%,-1.41%,swing,SL:2628.59,TP:2443.82
2025-05-23 15:14:32.237954,BTC-USD,long,93.68%,1.06%,scalp,SL:107594.04,TP:112509.51
2025-05-23 15:14:47.914079,ETH-USD,short,99.00%,-1.45%,swing,SL:2628.59,TP:2443.82
2025-05-23 15:20:11.662512,BTC-USD,long,93.59%,1.14%,scalp,SL:107676.98,TP:112596.23
2025-05-23 15:20:27.361337,ETH-USD,short,99.00%,-1.91%,swing,SL:2640.89,TP:2455.8
2025-05-23 15:25:51.142981,BTC-USD,long,93.39%,1.31%,scalp,SL:107832.25,TP:112758.6
2025-05-23 15:26:06.828371,ETH-USD,short,99.00%,-1.83%,swing,SL:2638.49,TP:2453.4
2025-05-23 15:31:30.673755,BTC-USD,long,93.28%,1.27%,scalp,SL:107779.73,TP:112703.68
2025-05-23 15:31:46.376234,ETH-USD,short,99.00%,-1.74%,swing,SL:2637.95,TP:2452.86
2025-05-23 15:37:10.131632,BTC-USD,long,93.99%,1.48%,scalp,SL:108041.95,TP:112977.88
2025-05-23 15:37:25.806673,ETH-USD,short,99.00%,-1.92%,swing,SL:2642.5,TP:2457.15
2025-05-23 15:42:49.563783,BTC-USD,long,93.18%,1.25%,scalp,SL:107771.76,TP:112695.34
2025-05-23 15:43:05.286910,ETH-USD,short,99.00%,-1.77%,swing,SL:2637.24,TP:2451.89
2025-05-23 15:48:29.158523,BTC-USD,long,93.25%,1.32%,scalp,SL:107845.35,TP:112772.29
2025-05-23 15:48:44.854226,ETH-USD,short,99.00%,-1.73%,swing,SL:2636.36,TP:2451.01
2025-05-23 15:54:08.629969,BTC-USD,long,92.31%,1.17%,scalp,SL:107648.52,TP:112566.48
2025-05-23 15:54:24.328819,ETH-USD,short,99.00%,-1.65%,swing,SL:2634.56,TP:2449.21
2025-05-23 15:59:48.066249,BTC-USD,long,93.45%,0.95%,scalp,SL:107444.59,TP:112353.22
2025-05-23 16:00:03.761485,ETH-USD,short,99.00%,-1.59%,swing,SL:2632.5,TP:2447.15
2025-05-23 16:05:27.457403,BTC-USD,long,93.25%,1.11%,scalp,SL:107597.59,TP:112513.21
2025-05-23 16:05:43.118918,ETH-USD,short,99.00%,-1.79%,swing,SL:2627.34,TP:2459.04
2025-05-23 16:11:06.871713,BTC-USD,long,93.33%,0.58%,scalp,SL:107029.68,TP:111919.36
2025-05-23 16:11:22.550951,ETH-USD,short,99.00%,-1.29%,swing,SL:2620.09,TP:2447.92
2025-05-23 16:16:46.250845,BTC-USD,long,93.26%,0.35%,scalp,SL:106777.59,TP:111655.75
2025-05-23 16:17:01.947036,ETH-USD,short,99.00%,-1.29%,swing,SL:2620.93,TP:2448.76
2025-05-23 16:22:41.019530,ETH-USD,short,99.00%,-0.87%,swing,SL:2612.2,TP:2435.5
